Gene	PL_Un1_IN	PL_Un2_IN	PL_Un3_IN	PL_Un1_FL	PL_Un2_FL	PL_Un3_FL	PL_Az1_IN	PL_Az2_IN	PL_Az3_IN	PL_Az1_FL	PL_Az2_FL	PL_Az3_FL	PL_log2OR	PL_rawpval	PL_Padj
PA14_15780,PA14_15790,PA14_15810,PA14_15820,PA14_15830	260	141	410	17	8	16	179	203	37	9	9	3	0.13837210214686	0.852212391614059	1
PA14_24970	5	2	1	0	0	0	0	3	1	0	0	0	-0.53051471669878	0.729034489538804	1
PA14_50820	39	36	33	6	7	0	33	30	4	0	2	1	1.2338094970379	0.178762411479417	0.758474792074367
PA14_22160	0	0	0	4	2	0	0	0	0	0	0	2	0.657112286476991	0.677235374673768	1
PA14_12550	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PA14_68450,PA14_68460	57	37	48	1	1	12	54	61	23	11	13	6	-1.62831020422841	0.00633669763394973	0.0505338323917504
PA14_19140	19	23	9	4	10	7	7	10	39	3	1	6	1.27677942789618	0.0704843029035001	0.380054565087623
PA14_66140,PA14_66150,PA14_66160,PA14_66170	486	393	384	14	14	2	686	704	1400	5	2	11	1.85801015286545	6.48164040127427e-05	0.000891979758416919
PA14_47000	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PA14_43160	40	30	71	13	11	16	39	28	54	12	15	5	0.22120573694974	0.67421127624691	1
PA14_43760	17	13	11	0	0	0	11	13	12	0	0	0	-0.166135261032077	0.893314113562963	1
PA14_16430,PA14_16440,PA14_16450,PA14_16460,PA14_16470,PA14_16480	113	86	66	0	0	0	69	61	99	0	0	0	-0.204117898688328	0.861007011372965	1
PA14_56010	0	0	0	0	0	0	2	0	3	0	0	0	0.899071091149219	0.974035653666771	1
PA14_59760	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1
PA14_52020	19	16	4	0	0	0	6	9	2	0	0	0	-1.1569693463384	0.6567701600152	1
PA14_03290,PA14_03300	60	50	48	0	0	0	30	31	57	0	0	0	-0.466889107565132	0.690828930034685	1
PA14_52530	3	2	5	16	5	9	4	4	1	3	4	2	1.55888192920663	0.144359656616408	0.647231405333722
PA14_18810	15	16	14	0	0	0	14	9	24	0	0	0	-0.0426129209650493	0.971888604515642	1
PA14_24600	0	0	0	38	29	33	0	0	0	18	13	42	0.598229718646021	0.937019272699911	1
PA14_65310	69	50	30	2	3	3	24	23	10	1	2	0	-0.376499435893705	0.938875707557112	1
PA14_08830	271	251	256	146	91	334	322	206	535	303	257	298	-0.131897061457812	0.195719303855738	0.806386191139343
PA14_22700	11	15	6	0	0	0	12	14	136	0	0	0	0.958299530820237	0.689127070606182	1
PA14_08420	0	0	0	0	0	0	0	0	0	3	2	0	-0.899071091149219	0.974035653666772	1
